frame,joint,x,y,bbox
680,rhan_smpl,224.88,125.65,"(140.1,129.6)-(251.3,421.7)"
681,rhan_smpl,228.27,126.17,"(142.0,129.3)-(253.6,420.5)"
686,lwri_smpl,132.47,214.81,"(133.3,131.3)-(224.1,420.2)"
686,lhan_smpl,125.37,216.43,"(133.3,131.3)-(224.1,420.2)"
686,rhan_smpl,182.41,131.06,"(133.3,131.3)-(224.1,420.2)"
697,rhan_smpl,189.57,112.53,"(116.4,115.4)-(211.1,427.2)"
709,lelb_smpl,204.89,206.14,"(111.5,100.5)-(201.5,426.1)"
713,rhan_smpl,176.66,109.73,"(108.6,110.8)-(203.8,426.7)"
763,rwri_smpl,127.35,120.79,"(91.5,122.8)-(189.3,403.7)"
763,rhan_smpl,120.74,115.53,"(91.5,122.8)-(189.3,403.7)"
764,ltoe_smpl,96.7,121.55,"(84.7,124.3)-(183.9,402.1)"
786,reyecoco,176.84,148.48,"(55.1,150.1)-(222.5,391.1)"
787,reyecoco,179.01,148.51,"(50.0,149.2)-(216.4,390.2)"
788,reyecoco,179.89,145.23,"(56.0,146.4)-(216.2,390.6)"
795,lhan_smpl,100.86,160.69,"(105.5,129.6)-(221.6,403.3)"
795,rhan_smpl,100.68,168.76,"(105.5,129.6)-(221.6,403.3)"
823,lhan_smpl,179.68,78.7,"(166.2,79.1)-(235.8,404.5)"
825,lhan_smpl,184.35,76.59,"(156.1,76.8)-(234.4,403.5)"
826,lhan_smpl,186.21,76.04,"(154.1,77.6)-(234.3,404.8)"
841,rhan_smpl,191.93,72.05,"(171.4,73.5)-(240.7,404.2)"
848,lhan_smpl,189.17,71.89,"(170.2,73.7)-(233.6,400.5)"
850,lhan_smpl,193.5,71.8,"(160.2,72.4)-(231.9,399.8)"
855,rhan_smpl,199.44,70.33,"(167.3,74.1)-(232.2,404.5)"
856,rhan_smpl,208.91,68.28,"(168.0,69.5)-(232.6,407.0)"
880,lhan_smpl,184.9,64.33,"(162.0,64.8)-(230.5,402.9)"
926,lhan_smpl,148.74,61.24,"(103.5,63.0)-(180.2,398.0)"
968,lhan_smpl,141.39,73.14,"(96.1,73.8)-(181.8,390.8)"
